text,label
"According to a report by the State Bank of Pakistan, the country's foreign exchange reserves have increased by 2.3% this quarter. Economic analysts at Karachi University suggest this indicates improved trade balance.",1
"SHOCKING!!! Pakistan's economy will COLLAPSE tomorrow! You won't believe what happens next! Share before government deletes this!!!",0
"The Lahore High Court ruled today on a case regarding environmental protection in Punjab. Justice Ayesha Malik presided over the hearing, with arguments presented by both parties.",1
"Breaking: Prime Minister announced new education reforms during a press conference in Islamabad. The policy focuses on increasing literacy rates in rural areas of Sindh and Balochistan.",1
"MIRACLE CURE discovered in Hunza Valley!!! Doctors are FURIOUS! This one weird trick will change Pakistan FOREVER!!!",0
"Research published in the Pakistan Journal of Medical Sciences shows promising results in treating dengue fever. The study was conducted at Aga Khan University Hospital over two years.",1
"A recent survey by Gallup Pakistan indicates changing voter preferences ahead of the elections. The data was collected from 3000 respondents across all four provinces.",1
"EXPOSED!!! The REAL truth about Imran Khan they don't want you to know! BOMBSHELL revelation will DESTROY everything!!!",0
"The Pakistan Meteorological Department has issued a weather advisory for heavy monsoon rains in Karachi and surrounding areas. Citizens are advised to take precautionary measures.",1
"Pakistan's cricket team secured victory against Australia in the second test match at the Melbourne Cricket Ground. Captain Babar Azam scored a century.",1
"This SECRET Pakistani recipe will make you RICH overnight!!! Multan traders HATE this simple trick! ACT NOW before banned!!!",0
"According to data from the Pakistan Bureau of Statistics, unemployment rates have shifted in major urban centers. Economists at LUMS analyzed the quarterly report.",1
"The Supreme Court of Pakistan heard arguments on a constitutional matter today. Chief Justice presided with a full bench of judges.",1
"SCANDAL!!! Karachi mayor caught in SHOCKING incident! You won't BELIEVE what happened! Share immediately before removed!!!",0
"A study by NUST researchers on renewable energy solutions was presented at an international conference in Dubai. The project focuses on solar power in Balochistan.",1
"Pakistani scientists at COMSATS published findings on water conservation techniques suitable for arid regions. The research received international recognition.",1
"BREAKING: Pakistani rupee DESTROYED! Economy FINISHED! This will SHOCK you! Government HIDING the truth!!!",0
"The Pakistan Software Export Board reported a 15% increase in IT exports this year. Tech companies in Karachi and Islamabad contributed significantly to growth.",1
"Dawn newspaper reported on infrastructure development projects in the China-Pakistan Economic Corridor. Officials from both countries discussed progress at a recent meeting.",1
"MIRACLE weight loss secret from Peshawar!!! Lose 50kg in 2 days!!! Nutritionists are ANGRY! This one weird trick!!!",0
"According to Express Tribune, a new university campus will be established in Quetta. The Higher Education Commission approved the project after thorough review.",1
"The Karachi Stock Exchange showed mixed trends today as investors responded to global market conditions. Financial analysts provided commentary on the day's trading.",1
"You won't BELIEVE what this Pakistani found in Lahore!!! SHOCKING discovery! Government wants to HIDE this! URGENT!!!",0
"Pakistan's Ministry of Climate Change announced new policies for environmental protection. The initiative includes collaboration with provincial governments.",1
"Research from the Institute of Business Administration Karachi examined consumer behavior patterns in Pakistani markets. The findings were published in an academic journal.",1
"CONSPIRACY revealed!!! What Rawalpindi authorities are HIDING!!! This will BLOW your mind!!! Share before it's too late!!!",0
"The Pakistan Engineering Council released guidelines for infrastructure projects. The standards align with international best practices according to industry experts.",1
"A panel discussion at Quaid-i-Azam University addressed challenges in higher education. Professors and administrators shared insights on potential solutions.",1
"EXPOSED!!! The truth about Pakistani politicians!!! SHOCKING scandal!!! You must see this before government censors it!!!",0
"According to the Pakistan Telecommunication Authority, internet penetration has increased in rural areas. The report highlighted initiatives for digital inclusion.",1
"The Sindh High Court issued a verdict on a property dispute case today. Legal experts commented on the implications of the ruling for similar cases.",1"
